,0,1,2,3,4,5
0,FM26,JM24,JM25,1/2Z23,R22,B21
1,FM26,JM24,JM25,1/2Z23,R22,B21
2,FM26,JM24,JM25,1/2Z23,R22,B21
3,FM26,JM24,JM25,1/2Z23,R22,B21
4,FM26,JM24,JM25,1/2Z23,R22,B21
5,FM26,JM24,JM25,1/2Z23,R22,B21
6,FM26,JM24,JM25,1/2Z23,R22,B21
7,FM26,JM24,JM25,1/2Z23,R22,B21
8,FM16,PM11,PS12,SM13,SM14,JM15
9,FM36,1/3JM35,QM34,1/2Z33,R32,B31
10,FM26,JM24,JM25,1/2Z23,R22,B21
11,FM26,JM24,JM25,1/2Z23,R22,B21
12,FM26,JM24,JM25,1/2Z23,R22,B21
13,FM26,JM24,JM25,1/2Z23,R22,B21
14,FM26,JM24,JM25,1/2Z23,R22,B21
15,FM26,JM24,JM25,1/2Z23,R22,B21
16,FM26,JM24,JM25,1/2Z23,R22,B21
17,FM26,JM24,JM25,1/2Z23,R22,B21
18,FM26,JM24,JM25,1/2Z23,R22,B21
19,FM26,JM24,JM25,1/2Z23,R22,B21
20,FM26,JM24,JM25,1/2Z23,R22,B21
21,FM26,JM24,JM25,1/2Z23,R22,B21
22,FM26,JM24,JM25,1/2Z23,R22,B21
23,FM26,JM24,JM25,1/2Z23,R22,B21
24,FM26,JM24,JM25,1/2Z23,R22,B21
25,FM26,JM24,JM25,1/2Z23,R22,B21
26,FM26,JM24,JM25,1/2Z23,R22,B21
27,FM26,JM24,JM25,1/2Z23,R22,B21
28,FM26,JM24,JM25,1/2Z23,R22,B21
29,FM26,JM24,JM25,1/2Z23,R22,B21
30,FM26,JM24,JM25,1/2Z23,R22,B21
31,FM26,JM24,JM25,1/2Z23,R22,B21
32,FM26,JM24,JM25,1/2Z23,R22,B21
33,FM26,JM24,JM25,1/2Z23,R22,B21
34,FM26,JM24,JM25,1/2Z23,R22,B21
35,FM26,JM24,JM25,1/2Z23,R22,B21
36,FM26,JM24,JM25,1/2Z23,R22,B21
37,FM26,JM24,JM25,1/2Z23,R22,B21
38,FM26,JM24,JM25,1/2Z23,R22,B21
39,FM26,JM24,JM25,1/2Z23,R22,B21
40,FM26,JM24,JM25,1/2Z23,R22,B21
41,FM26,JM24,JM25,1/2Z23,R22,B21
42,FM26,JM24,JM25,1/2Z23,R22,B21
43,FM26,JM24,JM25,1/2Z23,R22,B21
44,FM26,JM24,JM25,1/2Z23,R22,B21
45,FM26,JM24,JM25,1/2Z23,R22,B21
46,FM26,JM24,JM25,1/2Z23,R22,B21
47,FM26,JM24,JM25,1/2Z23,R22,B21
48,FM26,JM24,JM25,1/2Z23,R22,B21
49,FM26,JM24,JM25,1/2Z23,R22,B21
50,FM26,JM24,JM25,1/2Z23,R22,B21
51,FM26,JM24,JM25,1/2Z23,R22,B21
52,FM26,JM24,JM25,1/2Z23,R22,B21
53,FM26,JM24,JM25,1/2Z23,R22,B21
54,FM26,JM24,JM25,1/2Z23,R22,B21
55,FM26,JM24,JM25,1/2Z23,R22,B21
56,FM36,1/3JM35,QM34,1/2Z33,R32,B31
57,FM26,JM24,JM25,1/2Z23,R22,B21
58,FM16,PM11,PS12,SM13,SM14,JM15
59,FM26,JM24,JM25,1/2Z23,R22,B21
60,FM26,JM24,JM25,1/2Z23,R22,B21
61,FM26,JM24,JM25,1/2Z23,R22,B21
62,FM26,JM24,JM25,1/2Z23,R22,B21
63,FM26,JM24,JM25,1/2Z23,R22,B21
64,FM26,JM24,JM25,1/2Z23,R22,B21
65,FM26,JM24,JM25,1/2Z23,R22,B21
66,FM26,JM24,JM25,1/2Z23,R22,B21
67,FM26,JM24,JM25,1/2Z23,R22,B21
68,FM26,JM25,,,,
69,FM36,1/3JM35,,,,
70,FM36,1/3JM35,,,,
71,FM26,JM25,,,,
72,FM36,1/3JM35,,,,
73,FM36,1/3JM35,,,,
74,FM36,1/3JM35,,,,
75,FM36,1/3JM35,,,,
76,FM36,1/3JM35,,,,
77,FM36,1/3JM35,,,,
78,FM26,JM25,,,,
79,FM26,JM25,,,,
80,FM36,1/3JM35,,,,
81,FM36,1/3JM35,,,,
82,FM36,1/3JM35,,,,
83,FM36,1/3JM35,,,,
84,FM36,1/3JM35,,,,
85,FM26,JM25,,,,
86,FM36,1/3JM35,,,,
87,FM36,1/3JM35,,,,
88,FM36,1/3JM35,,,,
89,FM36,1/3JM35,,,,
90,FM36,1/3JM35,,,,
91,FM36,1/3JM35,,,,
92,FM36,1/3JM35,,,,
93,FM36,1/3JM35,,,,
94,FM26,JM25,,,,
95,1/3JM35,,,,,
96,1/3JM35,,,,,
97,1/3JM35,,,,,
98,1/3JM35,,,,,
99,1/3JM35,,,,,
100,1/3JM35,,,,,
101,QM43,,,,,
102,QM43,,,,,
103,QM43,,,,,
104,QM34,,,,,
105,JM25,,,,,
106,QM45,,,,,
107,JM25,,,,,
108,JM25,,,,,
109,JM25,,,,,
110,JM25,,,,,
111,FM36,,,,,
112,QM45,,,,,
113,JM25,,,,,
114,JM24,,,,,
115,FM36,,,,,
116,FM36,,,,,
117,1/3JM35,,,,,
118,QM45,,,,,
119,QM45,,,,,
120,QF46,QM43,QM44,QM45,CY41,CY42
121,FM36,1/3JM35,QM34,1/2Z33,R32,B31
122,FM26,JM24,JM25,1/2Z23,R22,B21
123,FM26,JM24,JM25,1/2Z23,R22,B21
124,FM26,JM24,JM25,1/2Z23,R22,B21
125,FM26,JM24,JM25,1/2Z23,R22,B21
126,FM36,1/3JM35,QM34,1/2Z33,R32,B31
127,FM26,JM24,JM25,1/2Z23,R22,B21
128,FM26,JM24,JM25,1/2Z23,R22,B21
129,FM26,JM24,JM25,1/2Z23,R22,B21
130,FM26,JM24,JM25,1/2Z23,R22,B21
131,FM26,JM24,JM25,1/2Z23,R22,B21
132,FM26,JM24,JM25,1/2Z23,R22,B21
133,FM36,1/3JM35,QM34,1/2Z33,R32,B31
134,FM36,1/3JM35,QM34,1/2Z33,R32,B31
135,FM36,1/3JM35,QM34,1/2Z33,R32,B31
136,FM36,1/3JM35,QM34,1/2Z33,R32,B31
137,FM36,1/3JM35,QM34,1/2Z33,R32,B31
138,FM36,1/3JM35,QM34,1/2Z33,R32,B31
139,FM36,1/3JM35,QM34,1/2Z33,R32,B31
140,JM25,,,,,
141,JM25,,,,,
142,1/3JM35,,,,,
143,JM25,,,,,
144,JM25,,,,,
145,1/3JM35,,,,,
146,JM25,,,,,
147,JM25,,,,,
148,1/3JM35,,,,,
149,JM25,,,,,
150,1/3JM35,,,,,
151,1/3JM35,,,,,
152,1/3JM35,,,,,
153,1/3JM35,,,,,
154,1/3JM35,,,,,
155,1/3JM35,,,,,
156,1/3JM35,,,,,
157,JM25,,,,,
158,JM25,,,,,
159,JM25,,,,,
160,JM25,,,,,
161,1/3JM35,,,,,
162,1/3JM35,,,,,
163,1/3JM35,,,,,
164,1/3JM35,,,,,
165,1/3JM35,,,,,
166,1/3JM35,,,,,
167,JM25,,,,,
168,1/3JM35,,,,,
169,1/3JM35,,,,,
170,JM25,,,,,
171,JM25,,,,,
172,JM25,,,,,
173,JM25,,,,,
174,1/3JM35,,,,,
175,1/3JM35,,,,,
176,1/3JM35,,,,,
177,1/3JM35,,,,,
178,1/3JM35,,,,,
179,JM25,,,,,
180,1/3JM35,,,,,
181,1/3JM35,,,,,
182,Cannot Find,,,,,
183,JM25,,,,,
184,1/3JM35,,,,,
185,JM24,,,,,
186,1/3JM35,,,,,
187,1/3JM35,,,,,
188,JM25,,,,,
189,JM25,,,,,
190,1/3JM35,,,,,
191,JM24,,,,,
192,JM25,,,,,
193,JM25,,,,,
194,JM25,,,,,
195,JM25,,,,,
196,JM25,,,,,
197,1/3JM35,,,,,
198,JM25,,,,,
199,JM25,,,,,
200,1/3JM35,,,,,
201,JM25,,,,,
202,1/3JM35,,,,,
203,1/3JM35,,,,,
204,1/3JM35,,,,,
205,1/3JM35,,,,,
206,1/3JM35,,,,,
207,1/3JM35,,,,,
208,1/3JM35,,,,,
209,1/3JM35,,,,,
210,1/3JM35,,,,,
211,1/3JM35,,,,,
212,1/3JM35,,,,,
213,1/3JM35,,,,,
214,JM25,,,,,
215,JM25,,,,,
216,JM25,,,,,
217,JM25,,,,,
218,JM25,,,,,
219,1/3JM35,,,,,
220,1/3JM35,,,,,
221,1/3JM35,,,,,
222,1/3JM35,,,,,
223,1/3JM35,,,,,
224,JM25,,,,,
225,1/3JM35,,,,,
226,1/3JM35,,,,,
227,1/3JM35,,,,,
228,1/3JM35,,,,,
229,1/3JM35,,,,,
230,1/3JM35,,,,,
231,1/3JM35,,,,,
232,JM25,,,,,
233,JM25,,,,,
234,1/3JM35,,,,,
235,1/3JM35,,,,,
236,1/3JM35,,,,,
237,FM16,PM11,PS12,SM13,SM14,JM15
238,FM26,JM24,JM25,1/2Z23,R22,B21
239,FM16,PM11,PS12,SM13,SM14,JM15
240,FM36,1/3JM35,QM34,1/2Z33,R32,B31
241,JM24,JM25,1/2Z23,R22,B21,
